month,pct,quantity_of_plasters,rx_items,actual_cost,net_cost
2021-02-01,42D,4045.0,123,8970.24793,9588.160000000002
2017-06-01,01G,1130.0,39,2514.35079,2716.2000000000003
2017-06-01,01D,1840.0,61,4110.81651,4440.51
2017-06-01,99E,1100.0,30,2456.5913899999996,2654.66
2017-06-01,10Q,6550.0,203,14630.943470000002,15807.329999999998
2018-01-01,15N,32910.0,1037,69643.80148,75109.56999999999
2018-01-01,93C,5025.0,153,11323.01128,12126.97
2018-01-01,15A,6595.0,204,14047.87011,15152.100000000002
2018-01-01,A3A8R,10485.0,329,23433.614299999994,25271.270000000004
2018-01-01,02Q,810.0,23,1802.0150800000001,1943.94
2018-02-01,02Q,810.0,25,1804.47415,1943.94
2018-02-01,02H,1060.0,31,2374.7414599999997,2558.13
2016-03-01,07K,6175.0,187,13794.256680000002,14902.3
2017-05-01,15N,34180.0,1071,76423.52828000001,82487.73999999999
2017-05-01,27D,8620.0,279,19276.154990000003,20802.91
2017-05-01,06Q,6395.0,210,14298.40409,15433.320000000003
2015-01-01,06T,3165.0,88,7066.558030000001,7638.200000000001
2021-01-01,07K,5655.0,180,11470.60802,12318.900000000001
2021-01-01,71E,7725.0,222,17263.89025,18545.269999999997
2018-10-01,01T,6350.0,207,14201.062890000001,15313.82
2018-10-01,13T,6580.0,216,14676.321549999997,15825.449999999999
2017-01-01,84H,12400.0,435,27748.45321,29925.329999999994
2017-09-01,91Q,19855.0,651,44327.44389000001,47867.87999999999
2015-11-01,01T,3825.0,127,8538.82341,9230.990000000002
2015-11-01,71E,12370.0,368,27607.1352,29852.929999999993
2015-11-01,A3A8R,8695.0,276,22245.69213,24046.370000000003
2018-04-01,01X,16240.0,547,31422.304709999997,33840.34
2018-04-01,07G,455.0,14,1009.12743,1087.21
2018-04-01,00X,2615.0,90,5860.43415,6310.82
2018-04-01,15A,6270.0,203,13213.73061,14231.989999999998
2019-08-01,04C,10410.0,324,20686.6076,22273.93
2019-08-01,03K,1725.0,37,3855.78775,4152.139999999999
2019-08-01,06Q,3635.0,110,7202.09973,7755.240000000001
2020-06-01,02X,3135.0,113,6917.76526,7442.6900000000005
2016-06-01,03L,1615.0,55,3613.36132,3897.5300000000007
2016-06-01,A3A8R,9885.0,320,22116.113750000008,23855.910000000007
2015-08-01,M1J4Y,6085.0,177,15332.92178,16567.500000000004
2020-12-01,15C,3035.0,87,6215.02166,6680.1
